WAREHOUSE;SLOT;PALLET_COUNT
CML;HS02Z;12
CML;KL24Z;1
CML;HB43Z;16
CML;HB44Z;6
CML;HB47Z;12
CML;GG16Z;10
CML;DG39Z;3
CML;DG40Z;1
CML;DG51Z;6
CML;HB31Z;1
CML;GZ16Z;4
CML;HP05Z;11
CML;HP07Z;12
CML;HP11Z;9
CML;HA26Z;23
CML;GQ21Z;16
CML;GR04Z;6
CML;GR09Z;1
CML;JM21Z;5
CML;KE21Z;8
CML;KE27Z;2
CML;KE36Z;4
CML;KE38Z;8
CML;DA23Z;2
CML;DA32Z;3
CML;DH58Z;8
CML;DH20Z;4
CML;DH36Z;4
CML;KE01Z;5
CML;KE02Z;8
CML;KE13Z;1
CML;KA56Z;10
CML;JK13Z;8
CML;JP20Z;6
CML;GA16Z;16
CML;HC05Z;8
CML;AC29Z;2
CML;GV03Z;4
CML;KA14Z;5
CML;AC75Z;1
CML;BA06Z;3
CML;BA16Z;4
CML;GK01Z;19
CML;HC45Z;8
CML;HC47Z;3
CML;HC51Z;8
CML;HC57Z;1
CML;HC61Z;1
CML;AB12Z;6
CML;HB13Z;11
CML;GH09Z;8
CML;GF07Z;32
CML;GB10Z;1
CML;GB12Z;2
CML;DM28Z;1
CML;DP06Z;1
CML;DP16Z;2
CML;JK05Z;16
CML;DB41Z;3
CML;DB43Z;3
CML;DG06Z;3
CML;DG25Z;1
CML;HA42Z;15
CML;JO21Z;3
CML;JO25Z;16
CML;AA06Z;1
CML;AB07Z;1
CML;AC51Z;11
CML;BB46Z;1
CML;JI21Z;24
CML;JI25Z;15
CML;JI26Z;2
CML;DA06Z;4
CML;DA11Z;1
CML;DA12Z;2
CML;DA43Z;6
CML;DA44Z;1
CML;DB08Z;2
CML;DB12Z;6
CML;DB27Z;3
CML;DB34Z;1
CML;DB36Z;4
CML;DH22Z;10
CML;DH30Z;3
CML;DH44Z;4
CML;DH48Z;5
CML;DH50Z;5
CML;DH69Z;2
CML;DH75Z;5
CML;DH79Z;8
CML;DM15Z;6
CML;DM19Z;3
CML;DP24Z;4
CML;DR03Z;4
CML;DR17Z;4
CML;DR20Z;4
CML;FA01Z;3
CML;FA03Z;3
CML;FA09Z;2
CML;FA15Z;8
CML;FA29Z;3
CML;FA35Z;3
CML;FA73Z;2
CML;FT09Z;4
CML;FT11Z;2
CML;FT17Z;5
CML;FT21Z;7
CML;FT23Z;1
CML;FT27Z;2
CML;GA21Z;16
CML;GB02Z;3
CML;GC15Z;4
CML;GE01Z;7
CML;GE10Z;6
CML;GE21Z;9
CML;GE22Z;4
CML;GF05Z;32
CML;GK10Z;8
CML;GL01Z;3
CML;GM02Z;3
CML;GM04Z;11
CML;GM07Z;19
CML;GM15Z;18
CML;GP09Z;8
CML;GQ14Z;4
CML;GQ19Z;12
CML;GR19Z;7
CML;GR22Z;8
CML;GR23Z;5
CML;GS08Z;3
CML;GS18Z;8
CML;GT01Z;3
CML;GU13Z;10
CML;GU14Z;8
CML;GU17Z;12
CML;GU18Z;8
CML;GW06Z;1
CML;GW10Z;12
CML;GX04Z;5
CML;HA07Z;2
CML;HB36Z;5
CML;HB59Z;5
CML;DG73Z;2
CML;DH03Z;11
CML;DH06Z;5
CML;DH11Z;7
CML;JI32Z;16
CML;HK28Z;9
CML;HP25Z;24
CML;HS18Z;3
CML;HS19Z;1
CML;JB08Z;5
CML;JD15Z;1
CML;JD20Z;14
CML;JD21Z;4
CML;JD23Z;1
CML;JD26Z;3
CML;JD34Z;9
CML;JE15Z;1
CML;JE17Z;1
CML;JE25Z;4
CML;JE39Z;3
CML;JE49Z;4
CML;JE51Z;6
CML;JG02Z;2
CML;JG08Z;7
CML;KB64Z;2
CML;JK28Z;11
CML;JM01Z;1
CML;JO27Z;2
CML;JP01Z;6
CML;JR06Z;16
CML;KA04Z;2
CML;KA08Z;8
CML;KA45Z;7
CML;KB34Z;3
CML;KB48Z;3
CML;KB52Z;2
CML;KB54Z;2
CML;KB80Z;3
CML;KC03Z;12
CML;KC07Z;16
CML;KC11Z;16
CML;KC40Z;20
CML;KC63Z;11
CML;KE55Z;1
CML;KE65Z;5
CML;KE69Z;3
CML;KE70Z;1
CML;KK05Z;4
CML;KK09Z;2
CML;KK11Z;2
CML;KL03Z;2
CML;KA61Z;9
CML;KA62Z;2
CML;KA73Z;11
CML;KA76Z;12
CML;GU02Z;7
CML;GU04Z;8
CML;GU06Z;3
CML;GU09Z;2
CML;JM04Z;24
CML;JM06Z;14
CML;JM09Z;1
CML;JM13Z;4
CML;DI04Z;7
CML;DI07Z;11
CML;DI08Z;2
CML;DK11Z;4
CML;DK20Z;4
CML;DK27Z;6
CML;KL26Z;2
CML;HK06Z;11
CML;JI42Z;16
CML;HB45Z;7
CML;HB46Z;16
CML;HB48Z;24
CML;KA34Z;1
CML;GG14Z;5
CML;GG15Z;16
CML;GG17Z;16
CML;DG38Z;3
CML;DG44Z;6
CML;DG52Z;1
CML;DG69Z;1
CML;GZ20Z;2
CML;GR03Z;5
CML;GP12Z;20
CML;GQ03Z;8
CML;JI05Z;24
CML;JI49Z;24
CML;KB09Z;7
CML;KB10Z;2
CML;JM27Z;2
CML;KE33Z;7
CML;KE37Z;5
CML;KE39Z;4
CML;DA15Z;5
CML;DA27Z;8
CML;DA37Z;7
CML;DH55Z;8
CML;DH57Z;1
CML;DH62Z;2
CML;DH31Z;9
CML;DH35Z;1
CML;KE04Z;8
CML;KE05Z;1
CML;KE12Z;2
CML;KA52Z;12
CML;KA55Z;15
CML;JK16Z;11
CML;KC50Z;14
CML;JP19Z;8
CML;GA20Z;1
CML;HC13Z;4
CML;HC19Z;1
CML;GV12Z;20
CML;KA03Z;1
CML;KA16Z;4
CML;KA19Z;16
CML;AC69Z;5
CML;AC71Z;4
CML;HC35Z;4
CML;HC63Z;1
CML;AB31Z;4
CML;GF09Z;12
CML;GF10Z;16
CML;GB07Z;15
CML;GB16Z;2
CML;DP09Z;4
CML;DP11Z;1
CML;JK02Z;4
CML;JK03Z;7
CML;JK06Z;13
CML;GA03Z;19
CML;DG07Z;1
CML;DG09Z;1
CML;DG17Z;3
CML;DG21Z;3
CML;DG31Z;2
CML;DG32Z;2
CML;KC56Z;20
CML;HA32Z;12
CML;HA44Z;24
CML;JO01Z;10
CML;JO07Z;10
